,x,y,Cancer.cells,Fibroblast,MoMacDC
cosmx_bcc_xdonor_spot_0000001579,-128104.24113065602,84837.2435265988,0.9166666666666666,0.0,0.0
cosmx_bcc_xdonor_spot_0000001580,-128035.54113065606,85197.29352659883,0.95,0.05,0.0
cosmx_bcc_xdonor_spot_0000001581,-128067.99113065604,85545.43102659882,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001582,-128002.291130656,85915.5435265988,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001583,-128075.94567611055,86264.10716296243,0.9090909090909092,0.0909090909090909,0.0
cosmx_bcc_xdonor_spot_0000001584,-128138.59639381395,86698.3751055462,0.9473684210526316,0.0526315789473684,0.0
cosmx_bcc_xdonor_spot_0000001585,-128135.32446398934,86964.7435265988,0.8333333333333334,0.1666666666666666,0.0
cosmx_bcc_xdonor_spot_0000001689,-127680.259837598,80407.37939642629,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001690,-127678.25983759799,80728.63653928344,0.0,0.5714285714285714,0.0
cosmx_bcc_xdonor_spot_0000001691,-127685.14219053919,81113.13233760279,0.0,0.8235294117647058,0.0588235294117647
cosmx_bcc_xdonor_spot_0000001692,-127697.42650426469,81452.44606309295,0.25,0.4166666666666667,0.0
cosmx_bcc_xdonor_spot_0000001693,-127700.0515042647,81826.57106309301,0.2083333333333333,0.375,0.1666666666666666
cosmx_bcc_xdonor_spot_0000001694,-127692.57233759803,82185.90439642631,0.6875,0.125,0.0625
cosmx_bcc_xdonor_spot_0000001695,-127708.47036391382,82577.35834379475,0.1052631578947368,0.8421052631578947,0.0526315789473684
cosmx_bcc_xdonor_spot_0000001696,-127697.87574604063,82986.7435265988,0.8461538461538461,0.0769230769230769,0.0769230769230769
cosmx_bcc_xdonor_spot_0000001697,-127684.99113065605,83293.97079932611,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001698,-127707.36613065604,83698.74352659882,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001699,-127719.18678282997,84046.13483094667,0.9130434782608696,0.0,0.0434782608695652
cosmx_bcc_xdonor_spot_0000001700,-127712.53279732272,84489.49352659885,0.9583333333333334,0.0,0.0
