spot,condition,Cancer.cells,Fibroblast,MoMacDC
cosmx_bcc_xdonor_spot_0000003614,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003615,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003616,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003617,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003618,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003619,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003620,Baseline,0.8636363636363636,0.0,0.0
cosmx_bcc_xdonor_spot_0000003621,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003622,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003623,Baseline,0.7272727272727273,0.0454545454545454,0.0
cosmx_bcc_xdonor_spot_0000003887,Baseline,0.1818181818181818,0.2727272727272727,0.1818181818181818
cosmx_bcc_xdonor_spot_0000003888,Baseline,0.2222222222222222,0.5185185185185185,0.0
cosmx_bcc_xdonor_spot_0000003889,Baseline,0.7777777777777778,0.1666666666666666,0.0
cosmx_bcc_xdonor_spot_0000003890,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003891,Baseline,0.9545454545454546,0.0454545454545454,0.0
cosmx_bcc_xdonor_spot_0000003892,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003893,Baseline,0.6428571428571429,0.3571428571428571,0.0
cosmx_bcc_xdonor_spot_0000003894,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003895,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003896,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003897,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003898,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003911,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003912,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003913,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003914,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003915,Baseline,0.9642857142857144,0.0,0.0357142857142857
cosmx_bcc_xdonor_spot_0000003916,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003917,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003918,Baseline,0.8235294117647058,0.1764705882352941,0.0
cosmx_bcc_xdonor_spot_0000003919,Baseline,0.8,0.0,0.0
cosmx_bcc_xdonor_spot_0000003920,Baseline,0.7894736842105263,0.2105263157894736,0.0
cosmx_bcc_xdonor_spot_0000003921,Baseline,0.8181818181818182,0.0909090909090909,0.0
cosmx_bcc_xdonor_spot_0000003922,Baseline,0.8947368421052632,0.1052631578947368,0.0
cosmx_bcc_xdonor_spot_0000003923,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004186,Baseline,0.0666666666666666,0.6,0.0666666666666666
cosmx_bcc_xdonor_spot_0000004187,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004188,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004189,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004190,Baseline,0.8695652173913043,0.0869565217391304,0.0
cosmx_bcc_xdonor_spot_0000004191,Baseline,0.4615384615384615,0.2307692307692307,0.0
cosmx_bcc_xdonor_spot_0000004192,Baseline,0.1111111111111111,0.1111111111111111,0.0
cosmx_bcc_xdonor_spot_0000004193,Baseline,0.6451612903225806,0.1612903225806451,0.0
cosmx_bcc_xdonor_spot_0000004194,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004195,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004196,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004197,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004198,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004199,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004200,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004201,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004202,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004203,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004204,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004205,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004206,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004207,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004208,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004209,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004210,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004211,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004212,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004213,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004214,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004215,Baseline,0.9629629629629628,0.0,0.037037037037037
cosmx_bcc_xdonor_spot_0000004216,Baseline,0.9411764705882352,0.0588235294117647,0.0
cosmx_bcc_xdonor_spot_0000004217,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004218,Baseline,0.7391304347826086,0.0869565217391304,0.0
cosmx_bcc_xdonor_spot_0000004219,Baseline,0.8,0.08,0.0
cosmx_bcc_xdonor_spot_0000004220,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004221,Baseline,0.9642857142857144,0.0357142857142857,0.0
cosmx_bcc_xdonor_spot_0000004485,Baseline,0.0,0.6363636363636364,0.0
cosmx_bcc_xdonor_spot_0000004486,Baseline,0.7272727272727273,0.2727272727272727,0.0
cosmx_bcc_xdonor_spot_0000004487,Baseline,0.96,0.04,0.0
cosmx_bcc_xdonor_spot_0000004488,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000004489,Baseline,0.92,0.0,0.08
cosmx_bcc_xdonor_spot_0000004490,Baseline,0.9375,0.0625,0.0
cosmx_bcc_xdonor_spot_0000004491,Baseline,0.92,0.04,0.0
