,x,y,Cancer.cells,Fibroblast,MoMacDC
cosmx_bcc_xdonor_spot_0000001011,-438029.32899527805,30273.168981280236,0.75,0.0,0.0
cosmx_bcc_xdonor_spot_0000001012,-437965.40870542283,30722.06390881648,0.5652173913043478,0.0,0.0
cosmx_bcc_xdonor_spot_0000001013,-437991.2556619445,31091.025647946914,0.8,0.0,0.0
cosmx_bcc_xdonor_spot_0000001014,-438022.9956619446,31434.585647946908,0.8888888888888888,0.0,0.0555555555555555
cosmx_bcc_xdonor_spot_0000001015,-438013.13566194446,31834.465647946912,0.88,0.0,0.0
cosmx_bcc_xdonor_spot_0000001016,-437995.16232861124,32222.014219375484,0.9523809523809524,0.0,0.0476190476190476
cosmx_bcc_xdonor_spot_0000001017,-438007.0512175003,32591.141203502466,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001018,-438032.2561656545,33012.03621711775,0.6666666666666666,0.238095238095238,0.0476190476190476
cosmx_bcc_xdonor_spot_0000001019,-438025.6937004717,33352.083111452754,0.0,0.5,0.3
cosmx_bcc_xdonor_spot_0000001020,-438004.58536713844,33760.54977811942,0.0,0.5833333333333334,0.1666666666666666
