spot,x,y,tumor_hat
cosmx_bcc_spot_0000003894,-493873.2589219629,34482.84526920321,0.9651382695015248
cosmx_bcc_spot_0000003895,-493879.9616869398,34836.01001574699,0.8369147978023759
cosmx_bcc_spot_0000003896,-493896.8718251887,35177.13559178386,0.9720157600992934
cosmx_bcc_spot_0000003897,-493911.14122361934,35567.35267983967,0.9963468008674516
cosmx_bcc_spot_0000003898,-493895.8209942992,35911.94399843098,0.994156629578171
cosmx_bcc_spot_0000003899,-493888.15076257015,36285.5331249907,0.9941485376996706
cosmx_bcc_spot_0000003900,-493890.28311551124,36671.90287288985,0.995840672142715
cosmx_bcc_spot_0000003901,-493900.23311551113,37006.0493014613,0.9999999878313307
cosmx_bcc_spot_0000003902,-493886.5466290247,37387.001328488324,0.9999999753155034
cosmx_bcc_spot_0000003903,-493911.26840962894,37698.65077204952,0.9999999999843794
cosmx_bcc_spot_0000003985,-493860.2924806194,67532.35343489182,4.969082534180313e-13
cosmx_bcc_spot_0000003986,-493898.37581395265,67789.60343489182,0.09616331413454557
cosmx_bcc_spot_0000003987,-493911.1591472859,68190.95343489185,0.25224714279526395
cosmx_bcc_spot_0000003988,-493915.8591472858,68527.45343489187,0.8385844774234191
cosmx_bcc_spot_0000003989,-493912.1258139525,68858.12010155852,0.9842157739592432
cosmx_bcc_spot_0000003990,-493886.2554435821,69223.57565711408,0.8997395897062567
cosmx_bcc_spot_0000004287,-493520.73507698416,30528.73239351102,0.008862806150132808
cosmx_bcc_spot_0000004288,-493539.4943362435,30837.82498610364,0.25536015877813206
cosmx_bcc_spot_0000004289,-493528.97191908944,31205.483855499333,0.022141857850065984
cosmx_bcc_spot_0000004290,-493522.9850769843,31601.041421288828,0.8028417453018769
cosmx_bcc_spot_0000004291,-493530.9703711019,31944.480759524125,0.922505493954799
cosmx_bcc_spot_0000004292,-493526.6065055557,32311.467314145975,0.9197852644990239
cosmx_bcc_spot_0000004293,-493547.0626631912,32644.21706784055,0.8929383332574253
cosmx_bcc_spot_0000004294,-493500.2350769842,33045.05017128882,0.8723979316869044
cosmx_bcc_spot_0000004295,-493537.60349803674,33397.589118657255,0.9624258603016567
cosmx_bcc_spot_0000004296,-493538.50876573805,33751.20612670186,0.9833345881394804
cosmx_bcc_spot_0000004297,-493516.6997821778,34123.35891684591,0.9917767817926555
cosmx_bcc_spot_0000004298,-493535.71732603747,34481.47430146129,0.9645158115456295
cosmx_bcc_spot_0000004299,-493511.93311551126,34804.14096812794,0.7791843371779015
cosmx_bcc_spot_0000004300,-493541.1635502937,35207.496040591715,0.549949149134395
cosmx_bcc_spot_0000004301,-493516.3188297969,35566.08144431842,0.9924404816761087
cosmx_bcc_spot_0000004302,-493541.8331155113,35929.431444318434,0.9927982728776732
cosmx_bcc_spot_0000004303,-493544.6391761174,36291.15611964311,0.9970506104555449
cosmx_bcc_spot_0000004304,-493545.99465397274,36625.974301461276,0.9963490945857729
cosmx_bcc_spot_0000004305,-493559.90491038293,37030.410198897196,0.9885269924710852
cosmx_bcc_spot_0000004306,-493522.9866038831,37367.46267355433,0.9755518395080324
cosmx_bcc_spot_0000004307,-493554.11311551114,37725.934301461275,0.5621456312365297
cosmx_bcc_spot_0000004308,-493513.03311551095,37985.545730032725,0.02958818187153609
cosmx_bcc_spot_0000004389,-493515.4258139526,67447.28676822515,0.24520501846911055
cosmx_bcc_spot_0000004390,-493523.95914728596,67779.42486346328,2.6542816172957032e-09
cosmx_bcc_spot_0000004391,-493550.04248061933,68105.1034348918,3.33396453279488e-08
cosmx_bcc_spot_0000004392,-493589.75914728583,68520.27343489185,0.8649141574091436
cosmx_bcc_spot_0000004393,-493527.21840654506,68923.13121266964,0.8486969685135932
cosmx_bcc_spot_0000004394,-493513.67343300005,69239.43914917756,0.9999917226094056
cosmx_bcc_spot_0000004395,-493506.1591472858,69560.59343489187,0.88555231303736
cosmx_bcc_spot_0000004396,-493481.3966472859,70069.47843489182,0.8182120293281522
cosmx_bcc_spot_0000004397,-493563.87581395265,70234.7701015585,0.7603902793120941
cosmx_bcc_spot_0000004398,-493520.7924806194,70744.68676822516,0.724754485020446
cosmx_bcc_spot_0000004691,-493182.6934103176,30534.926837955474,0.37488489474634595
cosmx_bcc_spot_0000004692,-493152.41007698403,30860.310171288835,0.6161069339246517
cosmx_bcc_spot_0000004693,-493127.02818043256,31197.596378185375,0.5923243819462889
cosmx_bcc_spot_0000004694,-493141.42426617333,31588.84800912667,0.6729662291158819
