,Bcell,Cancer.cells,Endothelial,Fibroblast,Melanocyte,MoMacDC,Neutrophil,Normal.Kerat,Pericyte,PlasmaCell,Tcell
cosmx_bcc_spot_0000047728,6.966565472266699e-07,0.766832490452237,0.031059200633857552,0.014522261857560175,0.17988828697888562,7.32801291538046e-13,0.0012924391366450677,2.0164360694120012e-15,0.00640454445562611,2.0164360694120012e-15,7.98279044818934e-08
cosmx_bcc_spot_0000047729,1.0579495824859166e-08,0.8309890219919441,1.3207340803303594e-06,5.518922196545047e-12,0.15592839259844454,1.9770925188770883e-15,0.013081253743890074,1.9770925188770883e-15,3.8421868374379085e-14,1.9770925188770883e-15,3.4658165819269857e-10
cosmx_bcc_spot_0000047730,1.940585079148631e-15,0.8184559266926289,1.0485438630862187e-11,0.018093890058724242,0.16277323578204475,1.940585079148631e-15,0.0006769474534488881,1.940585079148631e-15,2.6580498482235564e-12,1.940585079148631e-15,1.940585079148631e-15
cosmx_bcc_spot_0000047731,1.8880319323389443e-15,0.6683623461271767,2.5904329199569067e-09,0.3232856549409622,0.008351724156737834,1.8880319323389443e-15,1.8880319323389443e-15,1.8880319323389443e-15,2.721846787735723e-07,1.8880319323389443e-15,1.8880319323389443e-15
cosmx_bcc_spot_0000047738,1.6646958217422473e-10,0.8196151598203176,5.756612634604416e-07,8.477484457788138e-14,0.15648745081978624,1.983436233058272e-15,0.02389681267546648,1.983436233058272e-15,3.3029024137348625e-10,4.529743898327244e-15,5.263129565496809e-10
cosmx_bcc_spot_0000047739,2.1049084555204703e-10,0.6609716573118252,0.00620913250500831,1.9955047785296892e-15,0.3114334508061453,1.9955047785296892e-15,0.01322623334178533,6.593952551401418e-13,0.008159525822595545,1.9955047785296892e-15,1.4839542651769317e-12
cosmx_bcc_spot_0000047740,1.3340503424845406e-11,0.7037536418085625,9.12408162248965e-08,2.0197562098819215e-15,0.280547482880778,2.0197562098819215e-15,0.0156987298905915,2.0197562098819215e-15,5.416589290020148e-08,2.0197562098819215e-15,9.882845336475292e-15
cosmx_bcc_spot_0000047741,0.03483841099471411,0.6345874339668334,0.10199913736641339,5.718897878384181e-15,0.15683485077015094,1.4641350597705624e-10,0.007816045746284491,1.9979523417954916e-15,0.062028732120698246,0.0018952171303286748,1.717581556238152e-07
cosmx_bcc_spot_0000047742,5.650870963517772e-09,0.7766618812211005,0.00047309818103125095,2.043762038846942e-15,0.19664811260718712,2.043762038846942e-15,0.026007912104498026,2.043762038846942e-15,0.0002089145602455461,2.043762038846942e-15,7.567505817719206e-08
cosmx_bcc_spot_0000047743,3.2061984803418226e-11,0.745070524548225,7.321561782525584e-06,0.00035207096832257155,0.2393143080091846,1.9708260344081978e-15,0.013165977168253207,4.317113670585847e-08,9.998786167715885e-07,0.0020887545618726543,1.0054199312725631e-10
cosmx_bcc_spot_0000047744,4.0615548367843466e-08,0.6556434518625798,1.1659941292442921e-05,2.0638315987339358e-15,0.3340726626462594,2.0638315987339358e-15,0.010272054726026481,2.0638315987339358e-15,6.03915734314387e-15,2.0638315987339358e-15,1.3020827905159323e-07
cosmx_bcc_spot_0000047745,0.007464788759897211,0.5783802345755129,0.0025547635965061035,2.060787600217696e-15,0.3946309023089387,2.060787600217696e-15,0.016230401481186388,2.060787600217696e-15,2.060787600217696e-15,0.0007388046150288861,1.0466292136811919e-07
cosmx_bcc_spot_0000047746,0.05899463476267106,0.33738780719519923,0.06633379771809286,1.2738178731603816e-10,0.5177957439198493,1.5733395343537457e-09,0.00666481119459081,4.581245062471204e-05,3.371682276882785e-11,6.612354704682277e-15,0.012777391024526975
cosmx_bcc_spot_0000047747,0.0468932401527956,0.12258553420170466,0.2831874417250561,0.24744395918700035,0.2941592902887838,1.1292953481087673e-07,0.00379132687494587,0.001865664428847142,7.318706717731796e-05,1.9157991829676035e-15,2.43144152578005e-07
cosmx_bcc_spot_0000047748,5.233912742299796e-12,0.4498158885943251,1.504186660174778e-09,0.1690662247940208,0.3811178045320061,2.082827191745375e-15,7.996278545745888e-08,2.082827191745375e-15,7.660981587853882e-13,2.082827191745375e-15,6.066693850301554e-10
cosmx_bcc_spot_0000047749,8.304175556273808e-06,0.5878892577323648,0.00270582543000158,1.2951624857636256e-08,0.38395841362605865,2.0646302881109705e-15,0.021773722661428498,2.0646302881109705e-15,0.000837285376290755,0.002826915987507801,2.620591625402995e-07
cosmx_bcc_spot_0000047768,2.4175690599332137e-07,0.590962113975268,0.0038869439109210516,0.12229874509766839,0.28282698947269624,8.82545003060213e-09,1.8812399513386443e-15,1.8812399513386443e-15,2.4953783324537728e-05,1.8812399513386443e-15,3.177759914696275e-09
cosmx_bcc_spot_0000047769,1.9613321507443584e-15,0.9366582992820345,3.500526104173324e-08,1.9613321507443584e-15,0.06201976312466481,1.9613321507443584e-15,0.0013218589441460122,1.9613321507443584e-15,4.364388156426442e-08,1.9613321507443584e-15,1.9613321507443584e-15
cosmx_bcc_spot_0000047770,1.897185740640181e-15,0.8911755005019031,2.7592037743638847e-12,1.897185740640181e-15,0.10146016312185965,1.897185740640181e-15,0.00736433623400974,1.897185740640181e-15,1.3945668237109154e-10,1.897185740640181e-15,1.897185740640181e-15
cosmx_bcc_spot_0000047771,0.002827869885291046,0.9406050213643025,3.3352249304876054e-07,1.8776144358769875e-15,0.05073305895861348,0.0033617043909619213,0.0024720110213676365,1.8776144358769875e-15,4.5520495233208915e-12,1.8776144358769875e-15,8.524125012086571e-10
cosmx_bcc_spot_0000047772,1.9678536383472275e-15,0.2874440304537784,0.01704164469433186,0.38535611077403603,0.3101212391487713,1.9678536383472275e-15,5.7939816606421545e-11,1.9678536383472275e-15,3.6974871124431144e-05,1.9678536383472275e-15,1.0120679780368697e-14
cosmx_bcc_spot_0000047773,1.8555175334617908e-07,0.9048940630594283,5.381368738442112e-06,1.8986058818537342e-15,0.08482797371126435,2.52696187298414e-15,0.01027205527859471,1.8986058818537342e-15,2.93727727439345e-07,1.8986058818537342e-15,4.730248502147168e-08
cosmx_bcc_spot_0000047774,7.629330342921583e-10,0.4795595582147688,0.24395039249965844,0.013312925607653701,0.1454369281912865,2.4804707002902926e-12,0.008221591013334422,1.918980592518922e-15,0.10951860370787463,1.918980592518922e-15,6.017034254222096e-15
cosmx_bcc_spot_0000047775,1.762220780170102e-11,0.6542925508200248,0.08019739767157236,0.056637088006399994,0.17252168348136654,1.9573120958284344e-15,0.010229618993298729,1.9573120958284344e-15,0.02612166097672954,1.9573120958284344e-15,3.297976265694387e-11
cosmx_bcc_spot_0000047776,1.9713226583310766e-15,0.7651227372189837,0.0010385835404163443,0.05704652915079524,0.16860199206810986,1.9713226583310766e-15,0.008190006573105195,1.9713226583310766e-15,1.5144804163007876e-07,1.9713226583310766e-15,5.400072846199978e-13
cosmx_bcc_spot_0000047777,3.068891536760706e-12,0.706471566916515,2.5314269563846025e-06,8.626311366112105e-05,0.2922549720645996,1.971732632857391e-15,0.0011846664420023607,1.971732632857391e-15,2.136740141584481e-11,1.971732632857391e-15,1.1823189304219783e-11
cosmx_bcc_spot_0000047778,1.903820337593722e-15,0.910772246422107,6.724277750795989e-10,1.903820337593722e-15,0.0866489822995386,1.903820337593722e-15,0.0025787706058802737,3.46399282329355e-14,1.903820337593722e-15,1.903820337593722e-15,1.903820337593722e-15
cosmx_bcc_spot_0000047779,1.906840850449001e-15,0.9243449623096174,1.6715890914665545e-11,1.906840850449001e-15,0.06767652310264698,1.906840850449001e-15,0.007978514571006077,1.906840850449001e-15,1.906840850449001e-15,1.906840850449001e-15,2.0004381852169124e-15
cosmx_bcc_spot_0000048125,9.875187562655723e-13,0.02695065088859689,0.24636544665956733,0.21432897581756713,0.4744420694761648,2.1205696346573493e-15,0.03745663239830913,2.1205696346573493e-15,0.0004562247587720693,2.1205696346573493e-15,2.8648607712415873e-14
cosmx_bcc_spot_0000048126,1.6056020584831014e-11,0.26553252146698286,0.03923475941674435,0.06084594834722779,0.6174153486293946,2.03825301168159e-15,0.01697141726414873,2.03825301168159e-15,4.83222605117375e-09,2.03825301168159e-15,2.7213291300873343e-11
cosmx_bcc_spot_0000048129,1.932659108712134e-12,0.4463118627673861,0.005201921044418906,0.06672768599959235,0.42491315780795735,2.0304534373215623e-15,0.019189684265587564,0.004096253486371639,4.724558798395936e-08,2.0304534373215623e-15,0.03355938738116126
cosmx_bcc_spot_0000048130,0.13074003376641805,0.018222198404264655,0.23990362068015286,0.1392597064552657,0.4416595039463275,1.0955922316523014e-06,0.016736002634520002,1.978940262147662e-15,1.1634378042139432e-09,0.013476698333935931,1.139023443737642e-06
cosmx_bcc_spot_0000048132,4.0257052532577075e-13,0.6858990118828618,0.00446130191735383,1.9905666216768474e-15,0.3045054636841944,1.9905666216768474e-15,0.0038263611579814768,1.9905666216768474e-15,0.0013078613564547542,1.9905666216768474e-15,7.430310843476378e-13
cosmx_bcc_spot_0000048133,1.627572287937071e-12,0.7825928793339643,0.001138237670920647,2.266043628514142e-09,0.20808470381027389,1.9782833798260878e-15,0.008182348518693587,1.9782833798260878e-15,1.8283983213744164e-06,1.9782833798260878e-15,1.4901208304404858e-13
cosmx_bcc_spot_0000048134,1.9328730202204314e-15,0.7455817727982795,2.9691914098371933e-07,0.08302421672118067,0.16669982393493088,1.9328730202204314e-15,0.002076842445517265,1.9328730202204314e-15,0.0026170471807032557,1.9328730202204314e-15,2.3948116343750125e-13
cosmx_bcc_spot_0000048135,1.8143853928659166e-15,0.7856118596845292,4.8011140364376356e-15,0.14784036579580004,0.0641251140537233,1.8143853928659166e-15,1.8143853928659166e-15,1.8143853928659166e-15,1.8143853928659166e-15,0.0024226604659311904,2.3554824874192385e-15
cosmx_bcc_spot_0000048142,1.9110745186658754e-07,0.7110095509705482,1.5439743949643838e-05,0.009314744429392834,0.2510593278767073,1.9411401419322183e-15,0.003438122666259492,0.004207730307450713,0.02095489289718235,1.9411401419322183e-15,1.0534730605262203e-12
cosmx_bcc_spot_0000048143,1.6297903728863467e-09,0.7029185607984341,1.86897990750554e-06,6.841390607807209e-05,0.2798729354210683,1.9747154839544665e-15,0.01383252630602961,1.9747154839544665e-15,6.734358731383636e-12,0.0033056929471545595,4.799068290077778e-12
cosmx_bcc_spot_0000048144,2.4688388454290224e-06,0.7672102447263414,3.133351553814503e-05,1.9867495492976778e-15,0.2133084586858169,1.9867495492976778e-15,0.017622087321398458,2.2905945735672314e-14,1.3195382397512635e-10,0.0018217135592956447,3.6932207831775256e-06
cosmx_bcc_spot_0000048145,0.0025820755073924437,0.7199778817140408,1.630818267816975e-06,2.010540791207238e-15,0.2258956858832916,2.010540791207238e-15,0.011438864028449682,2.010540791207238e-15,1.2192504682975812e-10,0.04010360311350537,2.588131210192527e-07
cosmx_bcc_spot_0000048146,3.2833385651954413e-13,0.6625336004746549,2.6261587055464466e-08,2.0052834201183243e-15,0.324548164919876,2.0052834201183243e-15,0.012918208041934515,2.0052834201183243e-15,2.0052834201183243e-15,2.9924882719780944e-10,2.3621488104104736e-12
cosmx_bcc_spot_0000048147,0.0002605247319340881,0.6810368231838485,0.03855702332636024,6.305612483546075e-08,0.25030280434090457,2.0316743589686702e-15,0.022261289874958623,0.007579350571160157,1.893255493654556e-12,2.0316743589686702e-15,2.120912811519467e-06
cosmx_bcc_spot_0000048148,1.4007213528581208e-06,0.6066814150812616,0.0012822097365738122,2.0634280518953524e-15,0.36639703811481006,2.0634280518953524e-15,0.025637689377427317,2.0634280518953524e-15,3.0268771355357406e-12,4.839768069600118e-10,2.464815645174496e-07
cosmx_bcc_spot_0000048149,1.1539827783670044e-05,0.35411551987302337,0.1632731745426337,0.03436393115316634,0.4285791749375983,2.03378166348783e-15,0.014868593071485964,0.0025301979422068725,2.651587896060643e-09,0.002257807576508977,5.842400293760993e-08
