,x,y,Cancer.cells,Fibroblast,MoMacDC
cosmx_bcc_xdonor_spot_0000002424,-190864.75191643095,-34989.47182934951,0.9375,0.0625,0.0
cosmx_bcc_xdonor_spot_0000002425,-190880.89593817006,-34647.68106847995,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002426,-190888.0060830976,-34273.125996016184,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002427,-190874.22513071666,-33958.492662682846,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002695,-190433.95776088967,-44894.68103627287,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002696,-190434.916094223,-44574.1532584951,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002697,-190421.1799831119,-44224.34770293954,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002698,-190421.65473058666,-43853.26689485873,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002699,-190412.0053799373,-43430.474687066526,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002700,-190416.291094223,-43146.1532584951,0.75,0.0,0.0
cosmx_bcc_xdonor_spot_0000002701,-190426.0688720008,-42798.01436960621,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002702,-190450.291094223,-42439.474687066526,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002703,-190501.65864918573,-42073.123459522016,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002704,-190484.8407220149,-41753.5352242279,0.9411764705882352,0.0,0.0588235294117647
cosmx_bcc_xdonor_spot_0000002705,-190521.26527444457,-41369.68867691333,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002706,-190520.494839662,-41022.843459522024,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002707,-190501.41261743972,-40694.623459522016,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002708,-190540.24010281984,-40332.28135425886,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002709,-190524.18747124088,-39950.59714373254,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002710,-190532.45302148012,-39601.80527770384,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002711,-190533.29273439877,-39226.807670048336,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002712,-190532.88483966194,-38885.72345952202,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002713,-190533.73483966192,-38562.07345952202,0.95,0.0,0.0
cosmx_bcc_xdonor_spot_0000002714,-190536.25983966197,-38165.74845952202,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002715,-190502.05496502205,-37826.3153362007,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002716,-190504.7815216941,-37474.58038198109,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002717,-190528.013490505,-37153.82599601618,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002718,-190537.46322595474,-36779.06409125427,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002719,-190546.21941643092,-36424.719329349515,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002720,-190543.14774976426,-36086.57599601618,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002721,-190496.93941643095,-35727.55932934951,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002722,-190516.63506860484,-35369.4636771756,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002723,-190495.7629458427,-35017.276976408335,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002724,-190561.06441643095,-34688.84682934951,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002725,-190535.21719420873,-34296.27044046062,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002726,-190508.2357127272,-33949.93710712729,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002993,-190079.51331644523,-45198.236591828434,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002994,-190167.18583106512,-44929.3243111267,0.8947368421052632,0.0,0.0
cosmx_bcc_xdonor_spot_0000002995,-190175.478594223,-44608.21575849511,0.9375,0.0,0.0625
cosmx_bcc_xdonor_spot_0000002996,-190180.891094223,-44212.00325849512,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002997,-190154.06382149574,-43856.812349404216,0.9545454545454546,0.0,0.0454545454545454
cosmx_bcc_xdonor_spot_0000002998,-190159.916094223,-43492.569925161784,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002999,-190176.43924237115,-43166.45881405067,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003000,-190165.2001851321,-42791.994167586025,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003001,-190152.916094223,-42422.965758495106,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003002,-190156.9769449251,-42070.228722679916,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003003,-190146.54393057103,-41739.896186794744,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003004,-190167.5634110905,-41394.885364283924,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003005,-190172.85706188416,-41030.4012372998,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003006,-190167.25983966194,-40699.560959522016,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003007,-190185.02957650405,-40300.4392489957,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003008,-190188.03960156668,-39959.74250714107,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003009,-190173.34536597773,-39603.86030162728,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003010,-190188.8716817672,-39262.28135425886,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003011,-190178.78483966194,-38908.42345952202,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003012,-190177.92431334616,-38542.59714373254,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003013,-190178.50983966194,-38208.873459522016,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003014,-190187.1491875925,-37831.90753585814,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003015,-190166.1133294744,-37476.15932934952,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003016,-190207.41000466625,-37152.6299175848,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003017,-190170.5601060861,-36784.19381210813,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003018,-190155.8838608754,-36433.43710712729,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003019,-190170.04467958884,-36049.00143461267,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003020,-190126.6060830976,-35712.15932934952,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003021,-190193.25759824913,-35332.84114753133,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003022,-190190.27274976426,-34993.20099601618,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003023,-190166.90095489245,-34664.543944734134,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003024,-190201.46573222041,-34285.68564513898,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003025,-190173.6701856617,-33956.23625242644,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003026,-190155.77274976435,-33750.99266268283,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003290,-189737.291094223,-45861.61754420939,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003291,-189824.291094223,-45614.25108458208,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003292,-189819.36801729992,-45271.941720033574,0.9615384615384616,0.0,0.0
cosmx_bcc_xdonor_spot_0000003293,-189798.251094223,-44926.22325849512,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003294,-189812.59109422303,-44602.95325849512,0.95,0.0,0.05
cosmx_bcc_xdonor_spot_0000003295,-189774.2196656516,-44186.33182992368,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003296,-189806.74563967757,-43862.40325849512,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003297,-189823.93395136585,-43508.22468706653,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003298,-189801.891094223,-43142.10325849512,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003299,-189791.531094223,-42776.86325849512,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003300,-189830.191094223,-42436.25325849511,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003301,-189795.13483966194,-42074.32345952202,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003302,-189810.1783179228,-41718.25389430463,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003303,-189823.63483966194,-41375.34568174424,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003304,-189810.90756693465,-41032.350732249295,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003305,-189809.38483966203,-40652.05203095059,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003306,-189803.9681729953,-40330.70679285535,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003307,-189847.49847602556,-39969.53255043111,0.9545454545454546,0.0454545454545454,0.0
cosmx_bcc_xdonor_spot_0000003308,-189816.92431334616,-39604.123459522016,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003309,-189792.74595077304,-39259.29012618869,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003310,-189795.6903952175,-38908.012348410906,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003311,-189832.30875270543,-38550.819111695935,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003312,-189825.24595077313,-38194.827163225724,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003313,-189858.43213952842,-37873.754546705844,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003314,-189816.8727497643,-37457.42599601617,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003315,-189832.8838608754,-37151.77044046062,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003316,-189833.9810830976,-36768.242662682846,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003317,-189807.70132119284,-36423.206948397135,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003318,-189787.37691643095,-36057.78432934951,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003319,-189808.41310064145,-35722.42248724425,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003320,-189793.82830531982,-35384.214884905065,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003321,-189810.43941643092,-35007.94504363523,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003322,-189839.62362695727,-34645.05406619162,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003323,-189822.51084500237,-34311.492662682846,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003324,-189807.93941643092,-33932.75192194211,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003325,-189821.939416431,-33757.32599601617,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003589,-189455.87442755632,-45932.06992516177,0.5833333333333334,0.0,0.0
cosmx_bcc_xdonor_spot_0000003590,-189446.166094223,-45614.02825849512,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003591,-189475.56032499223,-45266.86479695665,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003592,-189454.69850163042,-44932.23659182844,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003593,-189445.90647883838,-44574.21095080281,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003594,-189501.45776088967,-44233.792147384,0.9444444444444444,0.0,0.0555555555555555
cosmx_bcc_xdonor_spot_0000003595,-189475.58276088967,-43829.444925161784,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003596,-189474.49942755632,-43512.27825849512,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003597,-189463.56695629196,-43158.14463780545,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003598,-189453.7725757045,-42797.90325849511,1.0,0.0,0.0
