,Cancer.cells,Endothelial,Fibroblast,Melanocyte,MoMacDC,Normal.Kerat,Pericyte,PlasmaCell
cosmx_bcc_xdonor_spot_0000065905,0.7452789581001634,1.5684757000173297e-15,1.5684757000173297e-15,2.371915406974479e-15,0.062219263368623934,0.1625288139989264,0.029972964532278868,1.5684757000173297e-15
cosmx_bcc_xdonor_spot_0000065906,0.49306625992167796,1.5698564176446457e-07,0.3054768391230801,6.386011803766845e-13,0.058458909985486335,6.740211211694726e-09,0.14299782724326224,1.7014727196766163e-15
cosmx_bcc_xdonor_spot_0000065907,0.7886941169888652,0.07840049702930724,1.835534880530583e-15,1.835534880530583e-15,0.04485493618685415,0.03195451433644617,0.056095935458521665,1.835534880530583e-15
cosmx_bcc_xdonor_spot_0000065908,0.07294271087454365,0.07706609173280819,0.0687521040305096,1.6586759117209223e-15,0.41210582329291623,1.6586759117209223e-15,0.36913327006921715,1.6586759117209223e-15
cosmx_bcc_xdonor_spot_0000065909,1.6986802401759554e-15,0.11027364516370747,0.1556270137914956,1.6986802401759554e-15,0.5437277077489888,1.6986802401759554e-15,0.19037163329580134,1.6986802401759554e-15
cosmx_bcc_xdonor_spot_0000065910,1.5835810623534872e-15,0.1357426550995111,0.1349982492058864,1.5835810623534872e-15,0.4274397333391293,1.5835810623534872e-15,0.3018193623554667,1.5835810623534872e-15
cosmx_bcc_xdonor_spot_0000065911,0.5337616723145715,1.9958314446131265e-14,6.474390202055371e-12,1.5634780999192702e-15,0.2369631925414635,0.2021646618550883,0.027110473282379224,1.5634780999192702e-15
cosmx_bcc_xdonor_spot_0000065912,0.7551690632498196,1.5495852639325437e-15,1.5495852639325437e-15,1.5495852639325437e-15,0.09744152970187539,0.09437633413831381,0.053013072909984894,1.5495852639325437e-15
cosmx_bcc_xdonor_spot_0000065913,0.5680733028993593,2.355614871513887e-06,0.2566198654885758,1.6191280815461746e-15,0.08092754788651388,0.046814556694873805,0.047562371415802406,1.6191280815461746e-15
cosmx_bcc_xdonor_spot_0000065914,0.7721628631545825,0.00014425507734215246,0.20014179825834275,1.6327273396167198e-15,0.026173871376897914,1.6327273396167198e-15,0.0013772121328295543,1.6327273396167198e-15
cosmx_bcc_xdonor_spot_0000065915,0.9935837579166658,1.1751186693625193e-06,1.7937540191816725e-15,6.445583514203505e-11,0.006342208966552159,7.284715424327943e-05,1.0779409964755886e-08,1.7937540191816725e-15
cosmx_bcc_xdonor_spot_0000065916,0.9896897916469976,1.9878037747797647e-08,0.007276235961572935,2.7417081849714764e-13,0.0022857954130201825,1.0441611972354695e-06,0.000747112938898474,1.7569567433251419e-15
cosmx_bcc_xdonor_spot_0000065917,0.9956206042064033,7.416916549147948e-12,1.5536750032351173e-15,1.5536750032351173e-15,3.126697969133024e-06,1.5536750032351173e-15,0.004376269088204138,1.5536750032351173e-15
cosmx_bcc_xdonor_spot_0000065918,0.994229038034776,1.3591943321652088e-11,1.6419201529760567e-15,1.6419201529760567e-15,0.004195475302740296,0.0015754866485380974,3.484928820200666e-13,1.6419201529760567e-15
cosmx_bcc_xdonor_spot_0000065919,0.5104025634403562,0.11005957435411506,0.2475418069201696,0.03157770217448167,0.06879618041308737,1.9240769751252782e-10,0.03162217250538074,1.6384348001634928e-15
cosmx_bcc_xdonor_spot_0000065920,1.7308617862083777e-15,0.20742292791076916,0.21060942965075566,1.5817535602007965e-10,0.49246619598851604,1.7308617862083777e-15,0.08950144629177845,1.7308617862083777e-15
cosmx_bcc_xdonor_spot_0000065921,0.31565798662717903,0.03831337557305458,0.1409167278572623,0.3312812001470237,0.16826038717935776,1.6196192778102775e-15,0.005570322616119306,1.6196192778102775e-15
cosmx_bcc_xdonor_spot_0000065922,0.9434209071484275,1.4988504419390669e-15,1.4988504419390669e-15,1.8560084061315669e-09,0.05577407422905617,0.0008050167665017409,1.4988504419390669e-15,1.4988504419390669e-15
cosmx_bcc_xdonor_spot_0000065923,0.8998042300010259,5.8030720107902035e-09,1.6059176151176516e-15,0.057349040513337626,0.010051807396721946,1.6059176151176516e-15,0.03279491628583756,1.6059176151176516e-15
cosmx_bcc_xdonor_spot_0000065924,0.9740520949688845,1.3295040078877978e-15,1.3295040078877978e-15,1.8845712415771715e-15,1.3295040078877978e-15,0.025947905031106965,1.3295040078877978e-15,1.3295040078877978e-15
cosmx_bcc_xdonor_spot_0000065925,0.9999982736444759,1.4711439794141936e-15,1.4711439794141936e-15,7.489321389101106e-09,1.4711439794141936e-15,1.718866195097881e-06,1.4711439794141936e-15,1.4711439794141936e-15
cosmx_bcc_xdonor_spot_0000065926,0.9814273271290227,2.258305903615646e-12,1.4955921104832553e-15,0.01462152123170597,5.0059308038218925e-05,0.0039010923288860977,8.565820690086155e-14,1.4955921104832553e-15
